itemID,list,condition,Q1,Q2,A,observation,sentence,run,chosen_speaker,raw_response,timestamp
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,1,low,low,2026-03-19T19:13:20.711134
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,1,high,high,2026-03-19T19:13:23.993272
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,1,high,high,2026-03-19T19:13:26.802224
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,1,low,low,2026-03-19T19:13:30.167822
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,1,high,high,2026-03-19T19:13:32.802258
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,1,info,info,2026-03-19T19:13:36.583897
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,1,low,low,2026-03-19T19:13:39.580700
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,1,high,high,2026-03-19T19:13:43.124130
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,1,info,info,2026-03-19T19:13:47.292206
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,1,info,info,2026-03-19T19:13:52.370471
11,1,high,some,some,wrong,"[0, 0, 0, 0, 0]",some of the students got some of the answers wrong,1,info,info,2026-03-19T19:13:55.053939
12,2,high,most,some,wrong,"[0, 0, 0, 0, 0]",most of the students got some of the answers wrong,1,low,low,2026-03-19T19:14:00.820477
13,1,high,some,some,right,"[3, 3, 0, 0, 0]",some of the students got some of the answers right,1,low,low,2026-03-19T19:14:04.026741
14,2,high,some,most,wrong,"[0, 0, 0, 0, 0]",some of the students got most of the answers wrong,1,low,low,2026-03-19T19:14:07.323287
15,1,high,some,most,right,"[9, 9, 0, 0, 0]",some of the students got most of the answers right,1,high,high,2026-03-19T19:14:11.094008
16,2,high,none,all,wrong,"[3, 3, 3, 3, 3]",none of the students got all of the answers wrong,1,info,info,2026-03-19T19:14:13.891987
17,1,high,most,some,right,"[3, 3, 3, 0, 0]",most of the students got some of the answers right,1,low,low,2026-03-19T19:14:16.919405
18,2,high,some,none,wrong,"[12, 12, 0, 0, 0]",some of the students got none of the answers wrong,1,info,info,2026-03-19T19:14:19.907409
19,1,high,all,some,right,"[3, 3, 3, 3, 3]",all of the students got some of the answers right,1,high,high,2026-03-19T19:14:22.635212
20,2,high,some,all,right,"[12, 12, 0, 0, 0]",some of the students got all of the answers right,1,high,high,2026-03-19T19:14:25.482218
21,1,low,some,some,right,"[12, 12, 12, 12, 12]",some of the students got some of the answers right,1,low,low,2026-03-19T19:14:28.268250
22,2,low,most,some,right,"[12, 12, 12, 12, 12]",most of the students got some of the answers right,1,low,low,2026-03-19T19:14:31.177240
23,1,low,some,some,wrong,"[12, 12, 12, 9, 9]",some of the students got some of the answers wrong,1,low,low,2026-03-19T19:14:36.530560
24,2,low,some,most,right,"[12, 12, 12, 12, 12]",some of the students got most of the answers right,1,low,low,2026-03-19T19:14:39.741073
25,1,low,some,most,wrong,"[12, 12, 12, 3, 3]",some of the students got most of the answers wrong,1,low,low,2026-03-19T19:14:43.183039
26,2,low,none,all,right,"[9, 9, 9, 9, 9]",none of the students got all of the answers right,1,low,low,2026-03-19T19:14:46.064550
27,1,low,most,some,wrong,"[12, 12, 9, 9, 9]",most of the students got some of the answers wrong,1,low,low,2026-03-19T19:14:48.917528
28,2,low,some,none,right,"[12, 12, 12, 0, 0]",some of the students got none of the answers right,1,low,low,2026-03-19T19:14:51.869581
29,1,low,all,some,wrong,"[9, 9, 9, 9, 9]",all of the students got some of the answers wrong,1,info,info,2026-03-19T19:14:55.139082
30,2,low,some,all,wrong,"[12, 12, 12, 0, 0]",some of the students got all of the answers wrong,1,low,low,2026-03-19T19:14:57.979723
