itemID,list,condition,Q1,Q2,A,observation,sentence,prompt_template,temperature,run,chosen_speaker,confidence,logprobs_data,raw_response,timestamp
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,1,low,,,Student,2026-03-27T00:08:52.252909
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,2,low,,,Student,2026-03-27T00:08:52.586043
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,3,low,,,Student,2026-03-27T00:08:52.885486
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,4,low,,,Student,2026-03-27T00:08:53.189704
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,5,low,,,Student,2026-03-27T00:08:53.510717
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,6,low,,,Student,2026-03-27T00:08:53.822102
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,7,low,,,Student,2026-03-27T00:08:54.122622
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,8,low,,,Student,2026-03-27T00:08:54.422876
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,9,low,,,Student,2026-03-27T00:08:54.706438
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,10,low,,,Student,2026-03-27T00:08:55.028741
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,1,info,,,Examiner,2026-03-27T00:08:55.421438
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,2,info,,,Examiner,2026-03-27T00:08:55.750957
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,3,info,,,Examiner,2026-03-27T00:08:56.062221
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,4,info,,,Examiner,2026-03-27T00:08:56.391766
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,5,info,,,Examiner,2026-03-27T00:08:56.718367
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,6,info,,,Examiner,2026-03-27T00:08:57.090665
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,7,info,,,Examiner,2026-03-27T00:08:57.416471
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,8,info,,,Examiner,2026-03-27T00:08:57.728140
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,9,info,,,Examiner,2026-03-27T00:08:58.048723
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,10,info,,,Examiner,2026-03-27T00:08:58.402765
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,1,high,,,Teacher,2026-03-27T00:08:58.722204
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,2,high,,,Teacher,2026-03-27T00:08:59.048248
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,3,high,,,Teacher,2026-03-27T00:08:59.375241
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,4,high,,,Teacher,2026-03-27T00:08:59.692278
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,5,high,,,Teacher,2026-03-27T00:09:00.022244
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,6,high,,,Teacher,2026-03-27T00:09:00.348870
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,7,high,,,Teacher,2026-03-27T00:09:00.663138
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,8,high,,,Teacher,2026-03-27T00:09:00.978154
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,9,high,,,Teacher,2026-03-27T00:09:01.283278
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,10,high,,,Teacher,2026-03-27T00:09:01.616681
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,0.7,1,low,,,Student,2026-03-27T00:09:01.992944
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,0.7,2,low,,,Student,2026-03-27T00:09:02.333263
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,0.7,3,low,,,Student,2026-03-27T00:09:02.628493
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,0.7,4,low,,,Student,2026-03-27T00:09:02.934068
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,0.7,5,low,,,Student,2026-03-27T00:09:03.244894
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,direct_label,0.7,6,low,,,Student,2026-03-27T00:09:03.542664
