itemID,list,condition,Q1,Q2,A,observation,sentence,prompt_template,temperature,run,chosen_speaker,confidence,logprobs_data,raw_response,timestamp
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,1,info,,,Examiner,2026-03-26T23:56:37.013302
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,2,info,,,Examiner.,2026-03-26T23:56:37.217064
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,3,info,,,Examiner,2026-03-26T23:56:37.412817
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,4,info,,,Examiner.,2026-03-26T23:56:37.601853
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,5,info,,,Examiner,2026-03-26T23:56:37.806184
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,6,info,,,Examiner,2026-03-26T23:56:38.005784
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,7,info,,,Examiner.,2026-03-26T23:56:38.202195
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,8,info,,,Examiner,2026-03-26T23:56:38.388229
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,9,info,,,Examiner,2026-03-26T23:56:38.596406
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,direct_label,0.7,10,info,,,Examiner,2026-03-26T23:56:38.794099
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,1,info,,,Examiner.,2026-03-26T23:56:39.044542
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,2,info,,,Examiner.,2026-03-26T23:56:39.245748
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,3,info,,,Examiner,2026-03-26T23:56:39.432336
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,4,info,,,Examiner.,2026-03-26T23:56:39.626862
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,5,info,,,Examiner.,2026-03-26T23:56:39.832805
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,6,info,,,Examiner,2026-03-26T23:56:40.027421
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,7,info,,,Examiner,2026-03-26T23:56:40.217486
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,8,info,,,Examiner.,2026-03-26T23:56:40.419968
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,9,info,,,Examiner.,2026-03-26T23:56:40.608537
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,direct_label,0.7,10,info,,,Examiner.,2026-03-26T23:56:40.821262
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,1,info,,,Examiner,2026-03-26T23:56:41.034496
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,2,info,,,Examiner.,2026-03-26T23:56:41.275135
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,3,info,,,Examiner,2026-03-26T23:56:41.460806
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,4,info,,,Examiner.,2026-03-26T23:56:41.649980
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,5,info,,,Examiner,2026-03-26T23:56:41.853514
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,6,info,,,Examiner,2026-03-26T23:56:42.048888
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,7,info,,,Examiner,2026-03-26T23:56:42.233901
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,8,info,,,Examiner.,2026-03-26T23:56:42.428807
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,direct_label,0.7,9,info,,,Examiner.,2026-03-26T23:56:42.625026
