itemID,list,condition,Q1,Q2,A,observation,sentence,run,chosen_speaker,raw_response,timestamp
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,1,low,low,2026-03-19T21:36:03.234524
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,1,low,low,2026-03-19T21:36:07.846410
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,1,low,low,2026-03-19T21:36:13.238062
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,1,low,low,2026-03-19T21:36:18.486623
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,1,high,high,2026-03-19T21:36:23.333337
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,1,low,low,2026-03-19T21:36:27.377782
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,1,low,low,2026-03-19T21:36:31.766287
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,1,high,high,2026-03-19T21:36:35.949930
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,1,low,low,2026-03-19T21:36:40.122282
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,1,low,low,2026-03-19T21:36:44.880332
11,1,high,some,some,wrong,"[0, 0, 0, 0, 0]",some of the students got some of the answers wrong,1,high,high,2026-03-19T21:36:49.220929
12,2,high,most,some,wrong,"[0, 0, 0, 0, 0]",most of the students got some of the answers wrong,1,low,low,2026-03-19T21:36:53.671365
13,1,high,some,some,right,"[3, 3, 0, 0, 0]",some of the students got some of the answers right,1,high,high,2026-03-19T21:36:57.715219
14,2,high,some,most,wrong,"[0, 0, 0, 0, 0]",some of the students got most of the answers wrong,1,low,low,2026-03-19T21:37:01.966990
15,1,high,some,most,right,"[9, 9, 0, 0, 0]",some of the students got most of the answers right,1,high,high,2026-03-19T21:37:06.450095
16,2,high,none,all,wrong,"[3, 3, 3, 3, 3]",none of the students got all of the answers wrong,1,high,high,2026-03-19T21:37:11.788570
17,1,high,most,some,right,"[3, 3, 3, 0, 0]",most of the students got some of the answers right,1,low,low,2026-03-19T21:37:15.897791
18,2,high,some,none,wrong,"[12, 12, 0, 0, 0]",some of the students got none of the answers wrong,1,high,high,2026-03-19T21:37:20.323779
19,1,high,all,some,right,"[3, 3, 3, 3, 3]",all of the students got some of the answers right,1,low,low,2026-03-19T21:37:24.550837
20,2,high,some,all,right,"[12, 12, 0, 0, 0]",some of the students got all of the answers right,1,high,high,2026-03-19T21:37:28.701070
21,1,low,some,some,right,"[12, 12, 12, 12, 12]",some of the students got some of the answers right,1,low,low,2026-03-19T21:37:33.410056
22,2,low,most,some,right,"[12, 12, 12, 12, 12]",most of the students got some of the answers right,1,low,low,2026-03-19T21:37:38.658063
23,1,low,some,some,wrong,"[12, 12, 12, 9, 9]",some of the students got some of the answers wrong,1,low,low,2026-03-19T21:37:42.751282
24,2,low,some,most,right,"[12, 12, 12, 12, 12]",some of the students got most of the answers right,1,low,low,2026-03-19T21:37:47.123978
25,1,low,some,most,wrong,"[12, 12, 12, 3, 3]",some of the students got most of the answers wrong,1,low,low,2026-03-19T21:37:51.583701
26,2,low,none,all,right,"[9, 9, 9, 9, 9]",none of the students got all of the answers right,1,low,low,2026-03-19T21:37:56.079478
27,1,low,most,some,wrong,"[12, 12, 9, 9, 9]",most of the students got some of the answers wrong,1,low,low,2026-03-19T21:38:00.342815
28,2,low,some,none,right,"[12, 12, 12, 0, 0]",some of the students got none of the answers right,1,low,low,2026-03-19T21:38:05.776230
29,1,low,all,some,wrong,"[9, 9, 9, 9, 9]",all of the students got some of the answers wrong,1,low,low,2026-03-19T21:38:10.093773
30,2,low,some,all,wrong,"[12, 12, 12, 0, 0]",some of the students got all of the answers wrong,1,low,low,2026-03-19T21:38:14.316642
