itemID,list,condition,Q1,Q2,A,observation,sentence,run,chosen_speaker,raw_response,timestamp
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,1,info,info,2026-03-19T20:40:55.421909
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,2,info,info,2026-03-19T20:40:59.359620
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,3,info,info,2026-03-19T20:41:33.062563
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,4,info,info,2026-03-19T20:41:36.651150
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,5,info,info,2026-03-19T20:41:40.552634
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,6,info,info,2026-03-19T20:41:44.431601
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,7,info,info,2026-03-19T20:41:48.554148
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,8,info,info,2026-03-19T20:41:52.478533
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,9,info,info,2026-03-19T20:42:25.939544
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,10,info,info,2026-03-19T20:42:59.511934
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,11,info,info,2026-03-19T20:43:03.433261
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,12,info,info,2026-03-19T20:43:07.454391
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,13,info,info,2026-03-19T20:43:11.249876
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,14,info,info,2026-03-19T20:43:45.002817
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,15,info,info,2026-03-19T20:43:48.476442
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,16,info,info,2026-03-19T20:44:21.913741
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,17,info,info,2026-03-19T20:44:55.681770
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,18,info,info,2026-03-19T20:44:59.360171
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,19,info,info,2026-03-19T20:45:02.904351
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,20,info,info,2026-03-19T20:45:36.568094
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,1,info,info,2026-03-19T20:46:10.447721
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,2,info,info,2026-03-19T20:46:44.441048
