array_idx,students_array,n_students,n_questions,framing,output_format,run,oq,iq,adj,sentence,raw_response,is_valid,timestamp
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:38:40.091376
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,2,all,some,right,all of the students got some of the answers right,All of the students got some of the answers right.,True,2026-03-27T01:38:40.377250
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,3,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:38:40.658216
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,4,all,some,wrong,all of the students got some of the answers wrong,All of the students got some of the answers wrong.,True,2026-03-27T01:38:40.933974
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,5,most,all,right,most of the students got all of the answers right,Most of the students got all of the answers right.,True,2026-03-27T01:38:41.205802
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,6,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:38:41.469151
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,7,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:38:41.771888
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,8,INVALID,INVALID,INVALID,INVALID,All the students got all the answers right.,False,2026-03-27T01:38:42.036636
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,9,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:38:42.310278
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,10,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:38:42.589496
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,1,INVALID,INVALID,INVALID,INVALID,Some of the students got all of their answers right.,False,2026-03-27T01:38:42.927350
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,2,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:38:43.200234
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,3,most,most,right,most of the students got most of the answers right,Most of the students got most of the answers right.,True,2026-03-27T01:38:43.467817
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,4,some,most,right,some of the students got most of the answers right,Some of the students got most of the answers right.,True,2026-03-27T01:38:43.728415
