array_idx,students_array,n_students,n_questions,framing,output_format,run,oq,iq,adj,sentence,raw_response,is_valid,timestamp
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,1,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right,True,2026-03-27T01:35:27.366477
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,2,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right.,True,2026-03-27T01:35:27.637878
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,3,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right.,True,2026-03-27T01:35:27.884519
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,4,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right.,True,2026-03-27T01:35:28.135766
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,5,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right.,True,2026-03-27T01:35:28.372387
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,6,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right.,True,2026-03-27T01:35:28.613524
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,7,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right.,True,2026-03-27T01:35:28.856465
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,8,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right.,True,2026-03-27T01:35:29.094429
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,9,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right.,True,2026-03-27T01:35:29.367142
0,"[12, 12, 12, 12, 12]",5,12,high,full_sentence,10,all,all,right,all of the students got all of the answers right,All of the students got all of the answers right.,True,2026-03-27T01:35:29.623253
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,1,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right,True,2026-03-27T01:35:29.901107
1,"[12, 12, 12, 3, 3]",5,12,high,full_sentence,2,all,most,right,all of the students got most of the answers right,All of the students got most of the answers right.,True,2026-03-27T01:35:30.143287
