itemID,list,condition,Q1,Q2,A,observation,sentence,run,chosen_speaker,raw_response,timestamp
1,1,info,all,some,wrong,"[3, 3, 3, 3, 3]",all of the students got some of the answers wrong,1,info,info,2026-03-19T20:31:47.624939
2,2,info,all,some,right,"[9, 9, 9, 9, 9]",all of the students got some of the answers right,1,info,info,2026-03-19T20:32:21.495162
3,1,info,some,most,right,"[9, 9, 9, 9, 9]",some of the students got most of the answers right,1,info,info,2026-03-19T20:32:55.492912
4,2,info,some,most,wrong,"[3, 3, 3, 3, 3]",some of the students got most of the answers wrong,1,low,low,2026-03-19T20:33:29.224404
5,1,info,none,all,wrong,"[9, 9, 9, 9, 9]",none of the students got all of the answers wrong,1,info,info,2026-03-19T20:33:32.739503
6,2,info,none,all,right,"[3, 3, 3, 3, 3]",none of the students got all of the answers right,1,info,info,2026-03-19T20:33:36.501596
7,1,info,most,most,wrong,"[3, 3, 3, 3, 3]",most of the students got most of the answers wrong,1,low,low,2026-03-19T20:33:40.316081
8,2,info,most,most,right,"[9, 9, 9, 9, 9]",most of the students got most of the answers right,1,high,high,2026-03-19T20:33:44.398208
9,1,info,most,some,wrong,"[3, 3, 3, 3, 3]",most of the students got some of the answers wrong,1,info,info,2026-03-19T20:33:48.419660
10,2,info,most,some,right,"[9, 9, 9, 9, 9]",most of the students got some of the answers right,1,info,info,2026-03-19T20:34:22.482429
11,1,high,some,some,wrong,"[0, 0, 0, 0, 0]",some of the students got some of the answers wrong,1,info,info,2026-03-19T20:34:26.418372
12,2,high,most,some,wrong,"[0, 0, 0, 0, 0]",most of the students got some of the answers wrong,1,info,info,2026-03-19T20:34:29.702284
13,1,high,some,some,right,"[3, 3, 0, 0, 0]",some of the students got some of the answers right,1,info,info,2026-03-19T20:34:33.008736
14,2,high,some,most,wrong,"[0, 0, 0, 0, 0]",some of the students got most of the answers wrong,1,info,info,2026-03-19T20:34:36.765471
15,1,high,some,most,right,"[9, 9, 0, 0, 0]",some of the students got most of the answers right,1,high,high,2026-03-19T20:35:10.529236
16,2,high,none,all,wrong,"[3, 3, 3, 3, 3]",none of the students got all of the answers wrong,1,info,info,2026-03-19T20:35:44.457393
17,1,high,most,some,right,"[3, 3, 3, 0, 0]",most of the students got some of the answers right,1,info,info,2026-03-19T20:35:47.750840
18,2,high,some,none,wrong,"[12, 12, 0, 0, 0]",some of the students got none of the answers wrong,1,high,high,2026-03-19T20:35:51.351846
19,1,high,all,some,right,"[3, 3, 3, 3, 3]",all of the students got some of the answers right,1,info,info,2026-03-19T20:35:55.857814
20,2,high,some,all,right,"[12, 12, 0, 0, 0]",some of the students got all of the answers right,1,info,info,2026-03-19T20:36:29.877589
21,1,low,some,some,right,"[12, 12, 12, 12, 12]",some of the students got some of the answers right,1,info,info,2026-03-19T20:36:33.849980
22,2,low,most,some,right,"[12, 12, 12, 12, 12]",most of the students got some of the answers right,1,info,info,2026-03-19T20:36:37.139766
23,1,low,some,some,wrong,"[12, 12, 12, 9, 9]",some of the students got some of the answers wrong,1,info,info,2026-03-19T20:37:10.900785
24,2,low,some,most,right,"[12, 12, 12, 12, 12]",some of the students got most of the answers right,1,info,info,2026-03-19T20:37:14.472841
25,1,low,some,most,wrong,"[12, 12, 12, 3, 3]",some of the students got most of the answers wrong,1,low,low,2026-03-19T20:37:18.391144
26,2,low,none,all,right,"[9, 9, 9, 9, 9]",none of the students got all of the answers right,1,info,info,2026-03-19T20:37:21.618600
27,1,low,most,some,wrong,"[12, 12, 9, 9, 9]",most of the students got some of the answers wrong,1,info,info,2026-03-19T20:37:55.301491
28,2,low,some,none,right,"[12, 12, 12, 0, 0]",some of the students got none of the answers right,1,info,info,2026-03-19T20:38:29.248964
29,1,low,all,some,wrong,"[9, 9, 9, 9, 9]",all of the students got some of the answers wrong,1,info,info,2026-03-19T20:39:02.733676
30,2,low,some,all,wrong,"[12, 12, 12, 0, 0]",some of the students got all of the answers wrong,1,low,low,2026-03-19T20:39:36.427545
